2017-02-26 11:45:23,892 Process-5 [INFO] Connecting to send_course socket on port 10010...
2017-02-26 11:45:24,924 Process-5 [INFO] S2017-02-26 11:45:27,815 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:28,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:28,815 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:29,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:29,815 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:30,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:30,799 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:31,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:31,815 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:32,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:32,799 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:33,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:33,799 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:34,299 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:34,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:35,315 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:35,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:36,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.02, 'heading': 0.0}
2017-02-26 11:45:36,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.02, 'heading': 0.0}
2017-02-26 11:45:37,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.02, 'heading': 0.0}
2017-02-26 11:45:37,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:45:38,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:45:38,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:45:39,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:45:39,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:40,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:40,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:41,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:41,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:42,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:45:42,801 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.01, 'heading': 0.0}
2017-02-26 11:45:43,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:43,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:44,301 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:44,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:45,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:45,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:46,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:46,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:45:47,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:45:47,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:45:48,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.03, 'heading': 0.0}
2017-02-26 11:45:48,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:49,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:49,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:50,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:50,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:51,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:51,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:52,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.02, 'heading': 0.0}
2017-02-26 11:45:52,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:53,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:53,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:54,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
2017-02-26 11:45:54,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:55,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:55,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:56,302 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': 0.0, 'heading': 0.0}
2017-02-26 11:45:56,802 Process-3 [INFO] {'lat': 38.870304, 'lng': -77.3214035, 'alt': -0.01, 'heading': 0.0}
